Nome,Saldo Atual,Divida Atual,Status
Cliente1,0,670,
Cliente2,0,1856,
Cliente3,0,710,
Cliente4,0,2657,
Cliente5,0,4348,
Cliente6,0,841,
Cliente7,0,35,
Cliente8,0,3970,
Cliente9,1092,0,ok
Cliente10,0,1441,
Cliente11,0,3404,
Cliente12,2762,0,ok
Cliente13,0,224,
Cliente14,583,0,ok
Cliente15,2057,0,ok
Cliente16,2251,0,ok
Cliente17,2156,0,ok
Cliente18,2808,0,ok
Cliente19,0,2720,
Cliente20,116,0,ok
Cliente21,0,556,
Cliente22,0,1199,
Cliente23,158,0,ok
Cliente24,417,0,ok
Cliente25,0,726,
Cliente26,0,2160,
Cliente27,0,1345,
Cliente28,0,5353,
Cliente29,1204,0,ok
Cliente30,769,0,ok
Cliente31,2491,0,ok
Cliente32,2834,0,ok
Cliente33,0,4023,
Cliente34,0,3320,
Cliente35,1547,0,ok
Cliente36,0,2144,
Cliente37,1410,0,ok
Cliente38,696,0,ok
Cliente39,1313,0,ok
Cliente40,0,1052,
Cliente41,0,3928,
Cliente42,876,0,ok
Cliente43,646,0,ok
Cliente44,3212,0,ok
Cliente45,0,131,
Cliente46,0,1263,
Cliente47,0,336,
Cliente48,1359,0,ok
Cliente49,0,2718,
Cliente50,2699,0,ok
Cliente51,0,4434,
Cliente52,476,0,ok
Cliente53,1748,0,ok
Cliente54,2268,0,ok
Cliente55,0,1351,
Cliente56,3263,0,ok
Cliente57,1493,0,ok
Cliente58,0,3588,
Cliente59,0,3926,
Cliente60,0,1240,
Cliente61,1031,0,ok
Cliente62,0,4486,
Cliente63,586,0,ok
Cliente64,0,1478,
Cliente65,0,3151,
Cliente66,366,0,ok
Cliente67,0,1570,
Cliente68,0,1171,
Cliente69,2789,0,ok
Cliente70,4218,0,ok
Cliente71,0,1278,
Cliente72,1700,0,ok
Cliente73,0,1124,
Cliente74,2388,0,ok
Cliente75,300,0,ok
Cliente76,443,0,ok
Cliente77,0,2761,
Cliente78,1519,0,ok
Cliente79,2271,0,ok
Cliente80,0,217,
Cliente81,0,2726,
Cliente82,1692,0,ok
Cliente83,0,2218,
Cliente84,0,986,
Cliente85,0,443,
Cliente86,1015,0,ok
Cliente87,0,7,
Cliente88,1734,0,ok
Cliente89,0,1569,
Cliente90,1386,0,ok
Cliente91,0,3321,
Cliente92,0,4315,
Cliente93,1488,0,ok
Cliente94,0,2283,
Cliente95,0,3298,
Cliente96,375,0,ok
Cliente97,0,1892,
Cliente98,0,2397,
Cliente99,0,4693,
Cliente100,0,2585,
Cliente101,916,0,ok
Cliente102,0,4626,
Cliente103,0,3681,
Cliente104,0,738,
Cliente105,1560,0,ok
Cliente106,0,291,
Cliente107,1216,0,ok
Cliente108,338,0,ok
Cliente109,1851,0,ok
Cliente110,1300,0,ok
Cliente111,0,3962,
Cliente112,1194,0,ok
Cliente113,1505,0,ok
Cliente114,1740,0,ok
Cliente115,1209,0,ok
Cliente116,2738,0,ok
Cliente117,0,1718,
Cliente118,0,1046,
Cliente119,0,1751,
Cliente120,0,2645,
Cliente121,3089,0,ok
Cliente122,3924,0,ok
Cliente123,0,81,
Cliente124,3405,0,ok
Cliente125,31,0,ok
Cliente126,712,0,ok
Cliente127,2042,0,ok
Cliente128,1365,0,ok
Cliente129,0,554,
Cliente130,0,1583,
Cliente131,0,688,
Cliente132,0,257,
Cliente133,0,129,
Cliente134,0,1285,
Cliente135,0,3406,
Cliente136,0,1375,
Cliente137,0,3428,
Cliente138,808,0,ok
Cliente139,0,3307,
Cliente140,0,1385,
Cliente141,645,0,ok
Cliente142,0,3919,
Cliente143,0,2259,
Cliente144,1889,0,ok
Cliente145,0,4616,
Cliente146,0,1414,
Cliente147,1641,0,ok
Cliente148,1318,0,ok
Cliente149,0,1062,
Cliente150,1281,0,ok
Cliente151,237,0,ok
Cliente152,0,401,
Cliente153,455,0,ok
Cliente154,0,1064,
Cliente155,2269,0,ok
Cliente156,0,2850,
Cliente157,1054,0,ok
Cliente158,0,910,
Cliente159,0,540,
Cliente160,0,254,
Cliente161,0,1637,
Cliente162,3518,0,ok
Cliente163,710,0,ok
Cliente164,2161,0,ok
Cliente165,0,3382,
Cliente166,0,1261,
Cliente167,0,639,
Cliente168,0,854,
Cliente169,3330,0,ok
Cliente170,0,989,
Cliente171,1303,0,ok
Cliente172,0,1036,
Cliente173,0,4045,
Cliente174,1921,0,ok
Cliente175,0,2002,
Cliente176,3499,0,ok
Cliente177,0,1164,
Cliente178,4139,0,ok
Cliente179,2196,0,ok
Cliente180,1023,0,ok
Cliente181,392,0,ok
Cliente182,1349,0,ok
Cliente183,0,1346,
Cliente184,0,791,
Cliente185,2080,0,ok
Cliente186,0,4202,
Cliente187,0,551,
Cliente188,1085,0,ok
Cliente189,0,412,
Cliente190,0,2436,
Cliente191,1282,0,ok
Cliente192,450,0,ok
Cliente193,0,1429,
Cliente194,202,0,ok
Cliente195,0,1499,
Cliente196,0,1336,
Cliente197,809,0,ok
Cliente198,24,0,ok
Cliente199,0,2353,
Cliente200,0,212,
